,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_revenue,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,box_office_inflation,budget,budget,budget,budget,budget,budget,budget,budget,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,budget_inflation,runtime,runtime,runtime,runtime,runtime,runtime,runtime,runtime,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_age_at_release,a_height,a_height,a_height,a_height,a_height,a_height,a_height,a_height
1312481,9.0,18130359.0,0.0,18130359.0,18130359.0,18130359.0,18130359.0,18130359.0,9.0,49292347.687356316,7.90253409579263e-09,49292347.687356316,49292347.687356316,49292347.687356316,49292347.687356316,49292347.687356316,9.0,8500000.0,0.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,9.0,23109578.5440613,0.0,23109578.5440613,23109578.5440613,23109578.5440613,23109578.5440613,23109578.5440613,9.0,106.0,0.0,106.0,106.0,106.0,106.0,106.0,9.0,48.0,13.738631664034086,32.0,36.0,47.0,64.0,66.0,5.0,1.834,0.06387487769068519,1.75,1.78,1.88,1.88,1.88
1312584,16.0,44567606.0,0.0,44567606.0,44567606.0,44567606.0,44567606.0,44567606.0,16.0,75012270.4402277,1.5389853104779786e-08,75012270.4402277,75012270.4402277,75012270.4402277,75012270.4402277,75012270.4402277,0.0,,,,,,,,0.0,,,,,,,,16.0,111.0,0.0,111.0,111.0,111.0,111.0,111.0,14.0,41.857142857142854,14.319739699273345,22.0,32.0,40.5,47.75,73.0,12.0,1.7497916666666669,0.08032249156690269,1.62,1.7058749999999998,1.7574999999999998,1.7850000000000001,1.88
1316128,16.0,17953778.0,0.0,17953778.0,17953778.0,17953778.0,17953778.0,17953778.0,16.0,37034886.24651162,7.694926552389893e-09,37034886.24651162,37034886.24651162,37034886.24651162,37034886.24651162,37034886.24651162,0.0,,,,,,,,0.0,,,,,,,,16.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,14.0,32.142857142857146,10.121243028381466,12.0,28.0,30.0,34.5,50.0,9.0,1.7671111111111115,0.11359736401480061,1.588,1.651,1.8,1.85,1.905
1317604,17.0,157387195.0,0.0,157387195.0,157387195.0,157387195.0,157387195.0,157387195.0,17.0,307833389.1179713,6.143906154658885e-08,307833389.1179713,307833389.1179713,307833389.1179713,307833389.1179713,307833389.1179713,17.0,53000000.0,0.0,53000000.0,53000000.0,53000000.0,53000000.0,53000000.0,17.0,103662624.03528114,3.0719530773294423e-08,103662624.03528114,103662624.03528114,103662624.03528114,103662624.03528114,103662624.03528114,17.0,123.0,0.0,123.0,123.0,123.0,123.0,123.0,15.0,34.266666666666666,11.202465714977134,19.0,27.0,32.0,37.5,65.0,11.0,1.8000909090909092,0.0621392863580755,1.71,1.775,1.78,1.844,1.9
1317987,15.0,12000000.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,15.0,39349353.04990757,0.0,39349353.04990757,39349353.04990757,39349353.04990757,39349353.04990757,39349353.04990757,15.0,18000000.0,0.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,15.0,59024029.57486138,1.54241672011246e-08,59024029.57486136,59024029.57486136,59024029.57486136,59024029.57486136,59024029.57486136,15.0,107.0,0.0,107.0,107.0,107.0,107.0,107.0,8.0,31.125,9.68706796271636,21.0,24.5,29.0,35.25,51.0,5.0,1.7695999999999998,0.11933482308194875,1.63,1.68,1.778,1.83,1.93
1318335,21.0,29450919.0,0.0,29450919.0,29450919.0,29450919.0,29450919.0,29450919.0,21.0,88104435.59190556,1.526914651089847e-08,88104435.59190556,88104435.59190556,88104435.59190556,88104435.59190556,88104435.59190556,21.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,21.0,29915682.96795953,3.8172866277246175e-09,29915682.967959527,29915682.967959527,29915682.967959527,29915682.967959527,29915682.967959527,21.0,101.0,0.0,101.0,101.0,101.0,101.0,101.0,21.0,45.095238095238095,19.14394097855706,8.0,30.0,39.0,60.0,75.0,15.0,1.7576,0.11430835490024342,1.52,1.657,1.77,1.835,1.93
1320650,12.0,18254702.0,0.0,18254702.0,18254702.0,18254702.0,18254702.0,18254702.0,12.0,43880543.83197831,0.0,43880543.83197831,43880543.83197831,43880543.83197831,43880543.83197831,43880543.83197831,12.0,19000000.0,0.0,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0,12.0,45672086.72086721,0.0,45672086.72086721,45672086.72086721,45672086.72086721,45672086.72086721,45672086.72086721,12.0,105.0,0.0,105.0,105.0,105.0,105.0,105.0,12.0,43.666666666666664,11.926542845369074,25.0,35.25,45.5,53.0,60.0,9.0,1.7705555555555554,0.10435409804017176,1.62,1.65,1.78,1.854,1.88
1321163,20.0,5480653.0,0.0,5480653.0,5480653.0,5480653.0,5480653.0,5480653.0,20.0,9224552.582542693,3.822067201454766e-09,9224552.582542695,9224552.582542695,9224552.582542695,9224552.582542695,9224552.582542695,20.0,5000000.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,20.0,8415559.772296015,1.911033600727383e-09,8415559.772296015,8415559.772296015,8415559.772296015,8415559.772296015,8415559.772296015,20.0,95.0,0.0,95.0,95.0,95.0,95.0,95.0,18.0,35.333333333333336,14.154608478388605,7.0,29.5,33.5,36.75,73.0,15.0,1.7509599999999998,0.11190912639918418,1.47,1.68,1.77,1.8250000000000002,1.96
1321819,19.0,159330280.0,0.0,159330280.0,159330280.0,159330280.0,159330280.0,159330280.0,19.0,295815716.085819,0.0,295815716.08581895,295815716.08581895,295815716.08581895,295815716.08581895,295815716.08581895,19.0,60000000.0,0.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,19.0,111397174.25431709,4.59284633619262e-08,111397174.2543171,111397174.2543171,111397174.2543171,111397174.2543171,111397174.2543171,19.0,125.0,0.0,125.0,125.0,125.0,125.0,125.0,16.0,46.625,13.022416570411705,28.0,41.75,45.0,48.25,73.0,9.0,1.7550000000000001,0.07209542287829371,1.651,1.727,1.74,1.8,1.892
1323106,16.0,41482207.0,0.0,41482207.0,41482207.0,41482207.0,41482207.0,41482207.0,16.0,94587963.00514136,3.077970620955957e-08,94587963.00514136,94587963.00514136,94587963.00514136,94587963.00514136,94587963.00514136,16.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,16.0,114010282.77634959,3.077970620955957e-08,114010282.77634959,114010282.77634959,114010282.77634959,114010282.77634959,114010282.77634959,16.0,106.0,0.0,106.0,106.0,106.0,106.0,106.0,16.0,47.4375,16.677205001638214,26.0,34.0,44.5,59.25,85.0,13.0,1.7477692307692307,0.09061103119575994,1.626,1.7,1.73,1.78,1.96
1324852,9.0,9719000.0,0.0,9719000.0,9719000.0,9719000.0,9719000.0,9719000.0,9.0,27876323.362974938,0.0,27876323.362974938,27876323.362974938,27876323.362974938,27876323.362974938,27876323.362974938,0.0,,,,,,,,0.0,,,,,,,,9.0,101.0,0.0,101.0,101.0,101.0,101.0,101.0,9.0,42.0,23.93741840717165,9.0,29.0,46.0,52.0,77.0,5.0,1.8163600000000002,0.06462389650895407,1.7018,1.83,1.85,1.85,1.85
1329088,21.0,31755742.0,0.0,31755742.0,31755742.0,31755742.0,31755742.0,31755742.0,21.0,130404366.45370372,1.526914651089847e-08,130404366.45370369,130404366.45370369,130404366.45370369,130404366.45370369,130404366.45370369,21.0,35000000.0,0.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,21.0,143726851.85185185,6.107658604359388e-08,143726851.85185182,143726851.85185182,143726851.85185182,143726851.85185182,143726851.85185182,21.0,146.0,0.0,146.0,146.0,146.0,146.0,146.0,20.0,40.1,14.881638279931979,21.0,27.75,35.0,56.25,65.0,19.0,1.7933684210526315,0.07513780711785199,1.68,1.7349999999999999,1.78,1.835,1.96
1329111,17.0,11833696.0,0.0,11833696.0,11833696.0,11833696.0,11833696.0,11833696.0,17.0,87107787.15352696,3.0719530773294423e-08,87107787.15352696,87107787.15352696,87107787.15352696,87107787.15352696,87107787.15352696,17.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,17.0,14721991.70124481,1.9199706733309015e-09,14721991.70124481,14721991.70124481,14721991.70124481,14721991.70124481,14721991.70124481,17.0,82.0,0.0,82.0,82.0,82.0,82.0,82.0,0.0,,,,,,,,6.0,1.6953333333333334,0.16101511316229497,1.52,1.5554999999999999,1.71,1.776,1.93
1330220,23.0,45681173.0,0.0,45681173.0,45681173.0,45681173.0,45681173.0,45681173.0,23.0,104162469.02570692,1.5236060564087184e-08,104162469.02570692,104162469.02570692,104162469.02570692,104162469.02570692,104162469.02570692,23.0,35000000.0,0.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,23.0,79807197.94344471,0.0,79807197.94344471,79807197.94344471,79807197.94344471,79807197.94344471,79807197.94344471,23.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,21.0,37.333333333333336,14.78287297291475,4.0,31.0,39.0,42.0,71.0,11.0,1.7938181818181818,0.10216243750206647,1.62,1.71,1.816,1.855,1.956
1330432,16.0,26000000.0,0.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,16.0,50853362.73428886,7.694926552389893e-09,50853362.73428886,50853362.73428886,50853362.73428886,50853362.73428886,50853362.73428886,16.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,16.0,29338478.500551265,3.8474632761949464e-09,29338478.500551265,29338478.500551265,29338478.500551265,29338478.500551265,29338478.500551265,16.0,95.0,0.0,95.0,95.0,95.0,95.0,95.0,0.0,,,,,,,,11.0,1.758490909090909,0.11906305434134849,1.6,1.65,1.78,1.8165,1.9304
1330774,7.0,11492915.0,0.0,11492915.0,11492915.0,11492915.0,11492915.0,11492915.0,7.0,37686564.15896488,0.0,37686564.15896488,37686564.15896488,37686564.15896488,37686564.15896488,37686564.15896488,0.0,,,,,,,,0.0,,,,,,,,7.0,122.0,0.0,122.0,122.0,122.0,122.0,122.0,6.0,36.0,7.899367063252599,26.0,30.25,37.0,40.0,47.0,6.0,1.7528333333333332,0.09056360564082389,1.62,1.697,1.7755,1.79775,1.87
1330877,12.0,1914166.0,0.0,1914166.0,1914166.0,1914166.0,1914166.0,1914166.0,12.0,3019769.2165406845,9.72734704366128e-10,3019769.2165406845,3019769.2165406845,3019769.2165406845,3019769.2165406845,3019769.2165406845,12.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,12.0,23663850.600266784,0.0,23663850.600266784,23663850.600266784,23663850.600266784,23663850.600266784,23663850.600266784,12.0,88.0,0.0,88.0,88.0,88.0,88.0,88.0,8.0,43.75,8.345229603962801,32.0,40.5,43.5,48.5,57.0,5.0,1.7104,0.1262172729859111,1.6,1.6,1.66,1.842,1.85
1331395,14.0,7100000.0,0.0,7100000.0,7100000.0,7100000.0,7100000.0,7100000.0,14.0,11760410.830999065,1.9329582216693864e-09,11760410.830999063,11760410.830999063,11760410.830999063,11760410.830999063,11760410.830999063,14.0,100000000.0,0.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,14.0,165639589.1690009,0.0,165639589.1690009,165639589.1690009,165639589.1690009,165639589.1690009,165639589.1690009,14.0,95.0,0.0,95.0,95.0,95.0,95.0,95.0,14.0,46.07142857142857,12.845018703548295,23.0,37.25,47.5,53.0,66.0,12.0,1.7816666666666665,0.09576612926892011,1.7,1.72275,1.745,1.7962500000000001,1.96
1331578,14.0,91196419.0,0.0,91196419.0,91196419.0,91196419.0,91196419.0,91196419.0,14.0,139167696.6073118,3.092733154671018e-08,139167696.60731182,139167696.60731182,139167696.60731182,139167696.60731182,139167696.60731182,14.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,14.0,15260215.053763444,3.865916443338773e-09,15260215.05376344,15260215.05376344,15260215.05376344,15260215.05376344,15260215.05376344,14.0,98.0,0.0,98.0,98.0,98.0,98.0,98.0,12.0,36.333333333333336,12.182948839433022,7.0,33.0,35.0,40.75,54.0,4.0,1.705,0.06975672010638118,1.613,1.67825,1.7135,1.74025,1.78
1331978,9.0,66132626.0,0.0,66132626.0,66132626.0,66132626.0,66132626.0,66132626.0,9.0,239183034.70744133,0.0,239183034.70744133,239183034.70744133,239183034.70744133,239183034.70744133,239183034.70744133,0.0,,,,,,,,0.0,,,,,,,,9.0,96.0,0.0,96.0,96.0,96.0,96.0,96.0,9.0,46.22222222222222,8.7860369020648,33.0,43.0,44.0,49.0,64.0,7.0,1.735714285714286,0.10875923606099587,1.57,1.6800000000000002,1.78,1.8,1.84
1332901,10.0,190213455.0,0.0,190213455.0,190213455.0,190213455.0,190213455.0,190213455.0,10.0,329208457.7268292,6.282881220516323e-08,329208457.72682923,329208457.72682923,329208457.72682923,329208457.72682923,329208457.72682923,10.0,95000000.0,0.0,95000000.0,95000000.0,95000000.0,95000000.0,95000000.0,10.0,164419512.19512194,3.1414406102581615e-08,164419512.1951219,164419512.1951219,164419512.1951219,164419512.1951219,164419512.1951219,10.0,119.0,0.0,119.0,119.0,119.0,119.0,119.0,10.0,36.8,10.664583129843066,24.0,31.25,34.5,40.5,62.0,6.0,1.7473333333333334,0.10836727673364621,1.57,1.7015,1.784,1.79,1.88
1333447,10.0,148919.0,0.0,148919.0,148919.0,148919.0,148919.0,148919.0,10.0,307188.7279069767,6.135626191910472e-11,307188.7279069767,307188.7279069767,307188.7279069767,307188.7279069767,307188.7279069767,0.0,,,,,,,,0.0,,,,,,,,10.0,110.0,0.0,110.0,110.0,110.0,110.0,110.0,7.0,40.142857142857146,15.614401167176531,24.0,30.5,36.0,44.5,71.0,6.0,1.6905000000000001,0.09483406560935786,1.57,1.6075,1.7214999999999998,1.76575,1.78
1335380,13.0,21750000.0,0.0,21750000.0,21750000.0,21750000.0,21750000.0,21750000.0,13.0,219230113.63636357,6.203848121959366e-08,219230113.6363636,219230113.6363636,219230113.6363636,219230113.6363636,219230113.6363636,13.0,4000000.0,0.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,13.0,40318181.81818181,0.0,40318181.81818181,40318181.81818181,40318181.81818181,40318181.81818181,40318181.81818181,13.0,212.0,0.0,212.0,212.0,212.0,212.0,212.0,11.0,35.90909090909091,12.988106447473745,15.0,27.5,36.0,45.0,57.0,7.0,1.7358571428571428,0.10776583962683262,1.575,1.6549999999999998,1.77,1.823,1.85
1336308,31.0,158753820.0,0.0,158753820.0,158753820.0,158753820.0,158753820.0,158753820.0,31.0,242261743.38064504,1.2117982452692117e-07,242261743.38064513,242261743.38064513,242261743.38064513,242261743.38064513,242261743.38064513,31.0,40000000.0,0.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,31.0,61040860.21505377,2.272121709879772e-08,61040860.21505376,61040860.21505376,61040860.21505376,61040860.21505376,61040860.21505376,31.0,125.0,0.0,125.0,125.0,125.0,125.0,125.0,29.0,34.96551724137931,12.585373479391208,11.0,25.0,33.0,47.0,61.0,26.0,1.7679615384615381,0.10829865401535914,1.47,1.7005,1.778,1.85,1.96
1337353,13.0,1740156.0,0.0,1740156.0,1740156.0,1740156.0,1740156.0,1740156.0,13.0,3230807.686028257,0.0,3230807.686028257,3230807.686028257,3230807.686028257,3230807.686028257,3230807.686028257,0.0,,,,,,,,0.0,,,,,,,,13.0,103.0,0.0,103.0,103.0,103.0,103.0,103.0,13.0,32.76923076923077,11.17403124923921,20.0,25.0,31.0,37.0,54.0,13.0,1.779076923076923,0.1280465159870047,1.57,1.69,1.8,1.85,2.038
1338461,10.0,1455045.0,0.0,1455045.0,1455045.0,1455045.0,1455045.0,1455045.0,10.0,4173403.120452708,4.908500953528377e-10,4173403.120452708,4173403.120452708,4173403.120452708,4173403.120452708,4173403.120452708,10.0,12000000.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,10.0,34418755.052546486,7.853601525645404e-09,34418755.05254648,34418755.05254648,34418755.05254648,34418755.05254648,34418755.05254648,10.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,8.0,35.0,11.92835756865606,20.0,25.75,32.0,46.25,52.0,3.0,1.8163333333333334,0.12107986345108472,1.689,1.7595,1.83,1.88,1.93
1339563,10.0,7959291.0,0.0,7959291.0,7959291.0,7959291.0,7959291.0,7959291.0,10.0,15567565.858875414,0.0,15567565.858875412,15567565.858875412,15567565.858875412,15567565.858875412,15567565.858875412,10.0,42000000.0,0.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,10.0,82147739.80154356,1.5707203051290808e-08,82147739.80154355,82147739.80154355,82147739.80154355,82147739.80154355,82147739.80154355,10.0,146.0,0.0,146.0,146.0,146.0,146.0,146.0,10.0,33.8,5.493430419854044,22.0,32.25,35.0,37.0,41.0,7.0,1.785,0.10070584226680532,1.63,1.7349999999999999,1.8,1.8325,1.93
1342884,11.0,20080020.0,0.0,20080020.0,20080020.0,20080020.0,20080020.0,20080020.0,11.0,38139138.62955033,7.814234854058561e-09,38139138.62955032,38139138.62955032,38139138.62955032,38139138.62955032,38139138.62955032,11.0,25530000.0,0.0,25530000.0,25530000.0,25530000.0,25530000.0,25530000.0,11.0,48490599.57173448,7.814234854058561e-09,48490599.57173447,48490599.57173447,48490599.57173447,48490599.57173447,48490599.57173447,11.0,95.0,0.0,95.0,95.0,95.0,95.0,95.0,9.0,37.111111111111114,18.76462392671676,10.0,15.0,49.0,50.0,56.0,5.0,1.754,0.05029910535983721,1.68,1.75,1.75,1.77,1.82
1343139,30.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,30.0,492777777.7777779,3.637416084162768e-07,492777777.77777773,492777777.77777773,492777777.77777773,492777777.77777773,492777777.77777773,30.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,30.0,98555555.55555551,3.03118007013564e-08,98555555.55555554,98555555.55555554,98555555.55555554,98555555.55555554,98555555.55555554,30.0,178.0,0.0,178.0,178.0,178.0,178.0,178.0,28.0,40.57142857142857,10.372429878639894,21.0,34.25,43.0,47.25,57.0,16.0,1.8099375,0.08478715999489547,1.67,1.7775,1.808,1.875,1.93
1343165,22.0,25819961.0,0.0,25819961.0,25819961.0,25819961.0,25819961.0,25819961.0,22.0,40733313.30724765,1.525182472822544e-08,40733313.30724766,40733313.30724766,40733313.30724766,40733313.30724766,40733313.30724766,22.0,145000000.0,0.0,145000000.0,145000000.0,145000000.0,145000000.0,145000000.0,22.0,228750555.8025789,0.0,228750555.8025789,228750555.8025789,228750555.8025789,228750555.8025789,228750555.8025789,22.0,137.0,0.0,137.0,137.0,137.0,137.0,137.0,13.0,39.30769230769231,12.32466778040836,16.0,32.0,37.0,49.0,56.0,11.0,1.817163636363636,0.03819547807600456,1.75,1.79,1.83,1.835,1.88
1343178,12.0,7900000.0,0.0,7900000.0,7900000.0,7900000.0,7900000.0,7900000.0,12.0,79628409.0909091,1.5563755269858047e-08,79628409.09090908,79628409.09090908,79628409.09090908,79628409.09090908,79628409.09090908,12.0,12000000.0,0.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12.0,120954545.45454545,4.6691265809574145e-08,120954545.45454544,120954545.45454544,120954545.45454544,120954545.45454544,120954545.45454544,12.0,120.0,0.0,120.0,120.0,120.0,120.0,120.0,10.0,39.5,13.898441159592922,21.0,27.5,42.0,51.0,58.0,6.0,1.8313333333333333,0.07027564774989033,1.73,1.791,1.84,1.8650000000000002,1.93
1343327,15.0,10738000.0,0.0,10738000.0,10738000.0,10738000.0,10738000.0,10738000.0,15.0,183165500.0,0.0,183165500.0,183165500.0,183165500.0,183165500.0,183165500.0,0.0,,,,,,,,0.0,,,,,,,,15.0,143.0,0.0,143.0,143.0,143.0,143.0,143.0,4.0,20.5,3.1091263510296048,17.0,18.5,20.5,22.5,24.0,9.0,1.6605555555555556,0.1280733296895875,1.52,1.6,1.63,1.68,1.905
1343342,14.0,146900000.0,0.0,146900000.0,146900000.0,146900000.0,146900000.0,146900000.0,14.0,1506361849.7109828,4.948373047473629e-07,1506361849.7109826,1506361849.7109826,1506361849.7109826,1506361849.7109826,1506361849.7109826,14.0,15000000.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,14.0,153815028.9017341,0.0,153815028.9017341,153815028.9017341,153815028.9017341,153815028.9017341,153815028.9017341,14.0,219.0,0.0,219.0,219.0,219.0,219.0,219.0,10.0,39.1,8.491171886141512,28.0,33.75,36.5,47.0,50.0,3.0,1.8433333333333335,0.058594652770823076,1.8,1.81,1.82,1.865,1.91
1343517,11.0,3510605.0,0.0,3510605.0,3510605.0,3510605.0,3510605.0,3510605.0,11.0,5538295.482436639,9.767793567573201e-10,5538295.482436638,5538295.482436638,5538295.482436638,5538295.482436638,5538295.482436638,0.0,,,,,,,,0.0,,,,,,,,11.0,121.0,0.0,121.0,121.0,121.0,121.0,121.0,9.0,36.55555555555556,13.57489512953149,20.0,29.0,31.0,41.0,66.0,6.0,1.7816666666666665,0.0828049917979989,1.68,1.7525,1.7650000000000001,1.7925,1.93
1344253,10.0,177977226.0,0.0,177977226.0,177977226.0,177977226.0,177977226.0,177977226.0,10.0,330436000.96703297,0.0,330436000.96703297,330436000.96703297,330436000.96703297,330436000.96703297,330436000.96703297,10.0,80000000.0,0.0,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,10.0,148529565.67242283,3.1414406102581615e-08,148529565.6724228,148529565.6724228,148529565.6724228,148529565.6724228,148529565.6724228,10.0,93.0,0.0,93.0,93.0,93.0,93.0,93.0,10.0,39.5,9.675283515799995,25.0,36.5,39.0,45.0,58.0,6.0,1.7951666666666668,0.11112230499169223,1.638,1.7265,1.8014999999999999,1.8832499999999999,1.918
1345168,13.0,3736868.0,0.0,3736868.0,3736868.0,3736868.0,3736868.0,3736868.0,13.0,6686035.130610185,1.938702538112302e-09,6686035.130610187,6686035.130610187,6686035.130610187,6686035.130610187,6686035.130610187,0.0,,,,,,,,0.0,,,,,,,,13.0,127.0,0.0,127.0,127.0,127.0,127.0,127.0,13.0,30.307692307692307,10.656645934068683,19.0,23.0,28.0,31.0,52.0,11.0,1.7605818181818185,0.0738436431682758,1.63,1.7149999999999999,1.8,1.8032,1.85
1345521,13.0,8000000.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,13.0,53655954.631379955,0.0,53655954.631379955,53655954.631379955,53655954.631379955,53655954.631379955,53655954.631379955,13.0,5500000.0,0.0,5500000.0,5500000.0,5500000.0,5500000.0,5500000.0,13.0,36888468.8090737,1.5509620304898416e-08,36888468.80907372,36888468.80907372,36888468.80907372,36888468.80907372,36888468.80907372,13.0,105.0,0.0,105.0,105.0,105.0,105.0,105.0,13.0,42.07692307692308,9.455699678514351,30.0,35.0,41.0,47.0,63.0,6.0,1.6725,0.21604976278626178,1.27,1.6400000000000001,1.7325,1.79125,1.88
1345561,9.0,951801.0,0.0,951801.0,951801.0,951801.0,951801.0,951801.0,9.0,20101130.64285714,3.951267047896315e-09,20101130.64285714,20101130.64285714,20101130.64285714,20101130.64285714,20101130.64285714,0.0,,,,,,,,0.0,,,,,,,,9.0,96.0,0.0,96.0,96.0,96.0,96.0,96.0,2.0,25.5,2.1213203435596424,24.0,24.75,25.5,26.25,27.0,3.0,1.7733333333333334,0.08736894948054112,1.7,1.725,1.75,1.81,1.87
1346428,12.0,28510652.0,0.0,28510652.0,28510652.0,28510652.0,28510652.0,28510652.0,12.0,47986619.210626185,0.0,47986619.210626185,47986619.210626185,47986619.210626185,47986619.210626185,47986619.210626185,12.0,35000000.0,0.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,12.0,58908918.40607211,0.0,58908918.4060721,58908918.4060721,58908918.4060721,58908918.4060721,58908918.4060721,12.0,109.0,0.0,109.0,109.0,109.0,109.0,109.0,10.0,47.8,11.033282980751165,33.0,40.75,47.0,52.75,71.0,6.0,1.7168333333333334,0.16601254972641874,1.52,1.5902500000000002,1.7005,1.8475,1.93
1346469,16.0,6000000.0,0.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,16.0,55150259.0673575,7.694926552389893e-09,55150259.0673575,55150259.0673575,55150259.0673575,55150259.0673575,55150259.0673575,16.0,4653000.0,0.0,4653000.0,4653000.0,4653000.0,4653000.0,4653000.0,16.0,42769025.90673575,1.5389853104779786e-08,42769025.90673575,42769025.90673575,42769025.90673575,42769025.90673575,42769025.90673575,16.0,126.0,0.0,126.0,126.0,126.0,126.0,126.0,16.0,39.3125,14.513068823190588,20.0,27.5,35.5,50.75,65.0,7.0,1.8091428571428572,0.08269507960257487,1.7,1.745,1.82,1.862,1.93
1346905,13.0,2500000.0,0.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,13.0,41643192.4882629,7.754810152449208e-09,41643192.48826291,41643192.48826291,41643192.48826291,41643192.48826291,41643192.48826291,13.0,250000.0,0.0,250000.0,250000.0,250000.0,250000.0,250000.0,13.0,4164319.24882629,9.69351269056151e-10,4164319.248826291,4164319.248826291,4164319.248826291,4164319.248826291,4164319.248826291,13.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,2.0,9.0,4.242640687119285,6.0,7.5,9.0,10.5,12.0,2.0,1.6099999999999999,0.0565685424949237,1.57,1.59,1.6099999999999999,1.63,1.65
1346908,17.0,110317580.0,0.0,110317580.0,110317580.0,110317580.0,110317580.0,110317580.0,17.0,190930133.5804878,3.0719530773294423e-08,190930133.5804878,190930133.5804878,190930133.5804878,190930133.5804878,190930133.5804878,17.0,65000000.0,0.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,17.0,112497560.97560973,3.0719530773294423e-08,112497560.97560973,112497560.97560973,112497560.97560973,112497560.97560973,112497560.97560973,17.0,101.0,0.0,101.0,101.0,101.0,101.0,101.0,13.0,38.30769230769231,17.303104805133554,8.0,30.0,38.0,50.0,60.0,9.0,1.769111111111111,0.07831577817471465,1.68,1.727,1.73,1.8,1.94
1348145,3.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,3.0,43533742.331288345,0.0,43533742.331288345,43533742.331288345,43533742.331288345,43533742.331288345,43533742.331288345,0.0,,,,,,,,0.0,,,,,,,,3.0,72.0,0.0,72.0,72.0,72.0,72.0,72.0,1.0,26.0,,26.0,26.0,26.0,26.0,26.0,2.0,1.738,0.08768124086713197,1.676,1.7069999999999999,1.738,1.7690000000000001,1.8
1348418,14.0,5768142.0,0.0,5768142.0,5768142.0,5768142.0,5768142.0,5768142.0,14.0,71307901.7979094,0.0,71307901.7979094,71307901.7979094,71307901.7979094,71307901.7979094,71307901.7979094,0.0,,,,,,,,0.0,,,,,,,,14.0,146.0,0.0,146.0,146.0,146.0,146.0,146.0,10.0,36.9,6.919376979018977,24.0,32.75,38.0,42.75,44.0,5.0,1.8092,0.07328847112609184,1.75,1.75,1.778,1.85,1.918
1349086,15.0,289847354.0,0.0,289847354.0,289847354.0,289847354.0,289847354.0,289847354.0,15.0,428491004.9966668,1.233933376089968e-07,428491004.99666667,428491004.99666667,428491004.99666667,428491004.99666667,428491004.99666667,15.0,90000000.0,0.0,90000000.0,90000000.0,90000000.0,90000000.0,90000000.0,15.0,133050000.0,0.0,133050000.0,133050000.0,133050000.0,133050000.0,133050000.0,15.0,151.0,0.0,151.0,151.0,151.0,151.0,151.0,15.0,42.333333333333336,11.998015708957084,28.0,35.0,38.0,48.5,69.0,15.0,1.7651333333333334,0.04819138433174054,1.65,1.755,1.78,1.79,1.83
